PseudoTime1,PseudoTime2
chip_064_cell_81,0.968803
chip_064_cell_82,0.999867
chip_064_cell_83,0.970807
chip_064_cell_84,0.994769
chip_064_cell_86,0.923243
chip_064_cell_88,0.955875
chip_064_cell_89,0.962376
chip_064_cell_8,0.508408
chip_064_cell_90,0.985615
chip_064_cell_92,0.990825
chip_064_cell_94,0.970759
chip_064_cell_95,0.99032
chip_064_cell_96,0.966366
chip_064_cell_9,0.968219
chip_065_cell_10,0.398543
chip_065_cell_12,0.40922
chip_065_cell_13,0.402695
chip_065_cell_14,0.430634
chip_065_cell_15,0.431801
chip_065_cell_16,0.433134
chip_065_cell_18,0.429717
chip_065_cell_19,0.42706
chip_065_cell_1,0.408465
chip_065_cell_20,0.422114
chip_065_cell_21,0.42352
chip_065_cell_22,0.433711
chip_065_cell_23,0.454726
chip_065_cell_24,0.392275
chip_065_cell_25,0.445388
chip_065_cell_26,0.451956
chip_065_cell_27,0.428095
chip_065_cell_29,0.421464
chip_065_cell_2,0.429206
chip_065_cell_30,0.43185
chip_065_cell_31,0.415391
chip_065_cell_33,0.434403
chip_065_cell_35,0.431462
chip_065_cell_36,0.400555
chip_065_cell_37,0.432604
chip_065_cell_38,0.46999
chip_065_cell_3,0.430182
chip_065_cell_41,0.445019
chip_065_cell_42,0.394785
chip_065_cell_43,0.429342
chip_065_cell_45,0.444969
chip_065_cell_49,0.42931
chip_065_cell_4,0.42133
chip_065_cell_51,0.399068
chip_065_cell_52,0.399454
chip_065_cell_53,0.399255
chip_065_cell_54,0.430427
chip_065_cell_55,0.427818
chip_065_cell_57,0.428819
chip_065_cell_58,0.395406
chip_065_cell_59,0.381238
chip_065_cell_60,0.438083
chip_065_cell_63,0.420491
chip_065_cell_65,0.41988
chip_065_cell_66,0.429825
chip_065_cell_67,0.433409
chip_065_cell_69,0.431026
chip_065_cell_6,0.414805
chip_065_cell_71,0.429168
chip_065_cell_73,0.420032
chip_065_cell_76,0.430093
chip_065_cell_77,0.466723
chip_065_cell_78,0.422822
chip_065_cell_7,0.44054
chip_065_cell_81,0.444967
chip_065_cell_82,0.434611
chip_065_cell_83,0.412568
chip_065_cell_84,0.428578
chip_065_cell_87,0.445989
chip_065_cell_88,0.450043
chip_065_cell_8,0.407209
chip_065_cell_91,0.436399
chip_065_cell_9,0.410138
chip_066_cell_10,0.246908
chip_066_cell_11,0.38802
chip_066_cell_12,0.370471
chip_066_cell_14,0.370391
chip_066_cell_15,0.379659
chip_066_cell_16,0.397816
chip_066_cell_17,0.309721
chip_066_cell_19,0.38608
chip_066_cell_1,0.330739
chip_066_cell_21,0.228751
chip_066_cell_22,0.383031
chip_066_cell_23,0.388448
chip_066_cell_24,0.308614
chip_066_cell_25,0.226345
chip_066_cell_27,0.324722
chip_066_cell_28,0.380137
chip_066_cell_2,0.37335
chip_066_cell_33,0.365521
chip_066_cell_35,0.381507
chip_066_cell_37,0.261428
chip_066_cell_38,0.372502
chip_066_cell_39,0.385279
chip_066_cell_40,0.380934
chip_066_cell_41,0.38551
chip_066_cell_42,0.38066
chip_066_cell_43,0.392143
chip_066_cell_44,0.237628
chip_066_cell_45,0.377243
chip_066_cell_49,0.547291
chip_066_cell_50,0.372396
chip_066_cell_51,0.24909
chip_066_cell_52,0.382823
chip_066_cell_55,0.376497
chip_066_cell_59,0.343353
chip_066_cell_5,0.376918
chip_066_cell_60,0.38541
chip_066_cell_62,0.259769
chip_066_cell_63,0.387482
chip_066_cell_65,0.381324
chip_066_cell_66,0.391978
chip_066_cell_68,0.383248
chip_066_cell_70,0.373467
chip_066_cell_71,0.396044
chip_066_cell_73,0.378008
chip_066_cell_74,0.376753
chip_066_cell_75,0.517514
chip_066_cell_76,0.393177
chip_066_cell_77,0.350742
chip_066_cell_78,0.391239
chip_066_cell_79,0.387652
chip_066_cell_7,0.344543
chip_066_cell_80,0.383356
chip_066_cell_81,0.391446
chip_066_cell_82,0.386751
chip_066_cell_84,0.304001
chip_066_cell_85,0.382396
chip_066_cell_86,0.377525
chip_066_cell_87,0.361781
chip_066_cell_88,0.386605
chip_066_cell_89,0.346798
chip_066_cell_90,0.385837
chip_066_cell_92,0.378011
chip_066_cell_93,0.375318
chip_066_cell_94,0.379883
chip_066_cell_96,0.093821
chip_066_cell_9,0.352481
chip_069_cell_10,0.665587
chip_069_cell_11,0.667144
chip_069_cell_13,0.659225
chip_069_cell_15,0.661567
chip_069_cell_16,0.667047
chip_069_cell_17,0.664377
chip_069_cell_1,0.651323
chip_069_cell_21,0.661486
chip_069_cell_22,0.664107
chip_069_cell_23,0.664109
chip_069_cell_24,0.662768
chip_069_cell_25,0.668861
chip_069_cell_26,0.658416
chip_069_cell_27,0.662284
chip_069_cell_28,0.658548
chip_069_cell_30,0.654614
chip_069_cell_31,0.664501
chip_069_cell_32,0.665969
chip_069_cell_33,0.657981
chip_069_cell_35,0.656635
chip_069_cell_37,0.665475
chip_069_cell_39,0.625473
chip_069_cell_40,0.662448
chip_069_cell_41,0.656256
chip_069_cell_43,0.660548
chip_069_cell_46,0.65744
chip_069_cell_47,0.616289
chip_069_cell_50,0.66585
chip_069_cell_51,0.651933
chip_069_cell_52,0.654461
chip_069_cell_53,0.525474
chip_069_cell_55,0.622263
chip_069_cell_56,0.665777
chip_069_cell_58,0.662009
chip_069_cell_59,0.651745
chip_069_cell_5,0.6685
chip_069_cell_60,0.66193
chip_069_cell_61,0.668273
chip_069_cell_63,0.667544
chip_069_cell_64,0.66873
chip_069_cell_65,0.492593
chip_069_cell_68,0.664546
chip_069_cell_6,0.656051
chip_069_cell_70,0.662567
chip_069_cell_71,0.658371
chip_069_cell_73,0.656608
chip_069_cell_75,0.668731
chip_069_cell_76,0.667831
chip_069_cell_78,0.655415
chip_069_cell_7,0.661331
chip_069_cell_80,0.66165
chip_069_cell_81,0.651461
chip_069_cell_82,0.662394
chip_069_cell_83,0.656223
chip_069_cell_84,0.656176
chip_069_cell_85,0.657225
chip_069_cell_89,0.668062
chip_069_cell_92,0.65772
chip_069_cell_93,0.655448
chip_069_cell_94,0.664959
chip_069_cell_95,0.667562
chip_069_cell_96,0.654324
chip_069_cell_9,0.665747
chip_071_cell_10,0.616949
chip_071_cell_11,0.654602
chip_071_cell_12,0.658363
chip_071_cell_13,0.653405
chip_071_cell_16,0.663146
chip_071_cell_17,0.663844
chip_071_cell_18,0.641256
chip_071_cell_19,0.653152
chip_071_cell_20,0.665541
chip_071_cell_22,0.647923
chip_071_cell_23,0.64983
chip_071_cell_24,0.662149
chip_071_cell_26,0.635245
chip_071_cell_27,0.61476
chip_071_cell_28,0.661869
chip_071_cell_29,0.63961
chip_071_cell_30,0.642146
chip_071_cell_31,0.626403
chip_071_cell_32,0.665319
chip_071_cell_34,0.66509
chip_071_cell_36,0.609456
chip_071_cell_40,0.635597
chip_071_cell_41,0.649301
chip_071_cell_42,0.649368
chip_071_cell_51,0.66193
chip_071_cell_52,0.656415
chip_071_cell_53,0.66416
chip_071_cell_54,0.621544
chip_071_cell_55,0.648382
chip_071_cell_57,0.657587
chip_071_cell_58,0.665027
chip_071_cell_60,0.624925
chip_071_cell_61,0.642537
chip_071_cell_64,0.644269
chip_071_cell_65,0.662499
chip_071_cell_66,0.627488
chip_071_cell_67,0.633668
chip_071_cell_71,0.647868
chip_071_cell_72,0.630196
chip_071_cell_73,0.652145
chip_071_cell_75,0.636491
chip_071_cell_76,0.633203
chip_071_cell_77,0.638432
chip_071_cell_79,0.868087
chip_071_cell_7,0.660865
chip_071_cell_80,0.616561
chip_071_cell_81,0.625173
chip_071_cell_82,0.640041
chip_071_cell_83,0.768697
chip_071_cell_86,0.652531
chip_071_cell_88,0.640423
chip_071_cell_89,0.650653
chip_071_cell_8,0.662175
chip_071_cell_90,0.62229
chip_071_cell_94,0.652891
chip_071_cell_95,0.650639
chip_071_cell_96,0.635686
chip_072_cell_10,0.64693
chip_072_cell_11,0.653028
chip_072_cell_12,0.664848
chip_072_cell_15,0.643886
chip_072_cell_16,0.667637
chip_072_cell_17,0.654686
chip_072_cell_18,0.657279
chip_072_cell_19,0.657227
chip_072_cell_1,0.665789
chip_072_cell_20,0.660925
chip_072_cell_21,0.659681
chip_072_cell_22,0.667374
chip_072_cell_24,0.657739
chip_072_cell_25,0.658718
chip_072_cell_29,0.663696
chip_072_cell_2,0.660951
chip_072_cell_30,0.657901
chip_072_cell_31,0.573157
chip_072_cell_35,0.658244
chip_072_cell_36,0.666893
chip_072_cell_37,0.658552
chip_072_cell_3,0.665808
chip_072_cell_40,0.644269
chip_072_cell_41,0.660693
chip_072_cell_43,0.662379
chip_072_cell_45,0.663277
chip_072_cell_46,0.667573
chip_072_cell_49,0.639801
chip_072_cell_4,0.66681
chip_072_cell_50,0.661313
chip_072_cell_54,0.639399
chip_072_cell_55,0.66382
chip_072_cell_56,0.631346
chip_072_cell_57,0.662326
chip_072_cell_58,0.66017
chip_072_cell_59,0.660648
chip_072_cell_5,0.665842
chip_072_cell_60,0.656461
chip_072_cell_61,0.650522
chip_072_cell_62,0.647195
chip_072_cell_64,0.660215
chip_072_cell_66,0.65296
chip_072_cell_67,0.657637
chip_072_cell_6,0.640902
chip_072_cell_70,0.640514
chip_072_cell_71,0.660936
chip_072_cell_73,0.660057
chip_072_cell_76,0.662287
chip_072_cell_77,0.660242
chip_072_cell_78,0.592636
chip_072_cell_80,0.664762
chip_072_cell_81,0.643396
chip_072_cell_84,0.660105
chip_072_cell_85,0.629217
chip_072_cell_86,0.654236
chip_072_cell_87,0.668105
chip_072_cell_88,0.668508
chip_072_cell_89,0.64732
chip_072_cell_90,0.660275
chip_072_cell_94,0.6638
chip_072_cell_95,0.660578
chip_072_cell_96,0.667229
