PseudoTime1,PseudoTime2
chip_063_cell_10,0.011202
chip_063_cell_11,0.02446
chip_063_cell_12,0.013835
chip_063_cell_14,0.0725
chip_063_cell_15,0.004479
chip_063_cell_18,0.019142
chip_063_cell_19,0.035321
chip_063_cell_1,0.013806
chip_063_cell_20,0.029426
chip_063_cell_21,0.019236
chip_063_cell_22,0.069377
chip_063_cell_23,0.089212
chip_063_cell_24,0.021779
chip_063_cell_25,0.054252
chip_063_cell_26,0.054205
chip_063_cell_27,0.017324
chip_063_cell_28,0.046347
chip_063_cell_2,0.113266
chip_063_cell_30,0.020794
chip_063_cell_31,0.067326
chip_063_cell_35,0.022019
chip_063_cell_36,0.050039
chip_063_cell_37,0.036882
chip_063_cell_38,0.064351
chip_063_cell_39,0.055683
chip_063_cell_40,0.061495
chip_063_cell_41,0.070507
chip_063_cell_42,0.065242
chip_063_cell_44,0.089094
chip_063_cell_45,0.119207
chip_063_cell_46,0.070491
chip_063_cell_49,0.026579
chip_063_cell_4,0.013868
chip_063_cell_50,0.029389
chip_063_cell_51,0.030907
chip_063_cell_52,0.029243
chip_063_cell_53,0.028948
chip_063_cell_54,0.033068
chip_063_cell_55,0.003539
chip_063_cell_57,0.066191
chip_063_cell_59,0.06786
chip_063_cell_5,0.007266
chip_063_cell_60,0.033778
chip_063_cell_61,0.085559
chip_063_cell_62,0.048591
chip_063_cell_63,0.033766
chip_063_cell_64,0.0
chip_063_cell_65,0.047072
chip_063_cell_66,0.012369
chip_063_cell_68,0.041377
chip_063_cell_69,0.045565
chip_063_cell_6,0.019386
chip_063_cell_70,0.073327
chip_063_cell_71,0.026461
chip_063_cell_72,0.00802
chip_063_cell_73,0.080674
chip_063_cell_74,0.023274
chip_063_cell_75,0.02614
chip_063_cell_76,0.084914
chip_063_cell_77,0.060603
chip_063_cell_79,0.057519
chip_063_cell_7,0.005615
chip_063_cell_80,0.029645
chip_063_cell_81,0.082826
chip_063_cell_82,0.056011
chip_063_cell_83,0.027666
chip_063_cell_84,0.02968
chip_063_cell_86,0.029338
chip_063_cell_87,0.026438
chip_063_cell_89,0.032116
chip_063_cell_90,0.022357
chip_063_cell_91,0.021174
chip_063_cell_94,0.020586
chip_063_cell_95,0.024861
chip_063_cell_96,0.103877
chip_064_cell_10,0.942974
chip_064_cell_11,0.991942
chip_064_cell_12,0.950271
chip_064_cell_13,0.945449
chip_064_cell_14,0.942447
chip_064_cell_15,0.973319
chip_064_cell_16,0.955713
chip_064_cell_17,0.982197
chip_064_cell_18,0.993927
chip_064_cell_1,0.971906
chip_064_cell_20,0.98999
chip_064_cell_21,0.976438
chip_064_cell_22,0.942843
chip_064_cell_23,0.97234
chip_064_cell_24,0.967636
chip_064_cell_25,0.976834
chip_064_cell_26,0.976301
chip_064_cell_27,0.998003
chip_064_cell_28,0.915356
chip_064_cell_29,0.961965
chip_064_cell_30,0.960592
chip_064_cell_31,0.98197
chip_064_cell_33,0.995362
chip_064_cell_34,0.996475
chip_064_cell_35,0.985004
chip_064_cell_36,1.0
chip_064_cell_37,0.968056
chip_064_cell_39,0.994434
chip_064_cell_40,0.956091
chip_064_cell_42,0.958291
chip_064_cell_45,0.965304
chip_064_cell_47,0.946118
chip_064_cell_4,0.943604
chip_064_cell_50,0.978217
chip_064_cell_52,0.999122
chip_064_cell_53,0.896612
chip_064_cell_54,0.98672
chip_064_cell_55,0.941592
chip_064_cell_56,0.976137
chip_064_cell_58,0.968706
chip_064_cell_59,0.902995
chip_064_cell_5,0.956984
chip_064_cell_60,0.944192
chip_064_cell_61,0.953503
chip_064_cell_64,0.976696
chip_064_cell_65,0.936716
chip_064_cell_66,0.900852
chip_064_cell_67,0.949505
chip_064_cell_68,0.978777
chip_064_cell_70,0.989547
chip_064_cell_71,0.940294
chip_064_cell_72,0.934156
chip_064_cell_74,0.999674
chip_064_cell_75,0.980263
chip_064_cell_76,0.994409
chip_064_cell_77,0.990517
chip_064_cell_78,0.96248
chip_064_cell_7,0.930314
chip_064_cell_80,0.905092
