,PseudoTime
M2IA_CELL_10,0.011202
M2IA_CELL_11,0.02446
M2IA_CELL_12,0.013835
M2IA_CELL_14,0.0725
M2IA_CELL_15,0.004479
M2IA_CELL_18,0.019142
M2IA_CELL_19,0.035321
M2IA_CELL_1,0.013806
M2IA_CELL_20,0.029426
M2IA_CELL_21,0.019236
M2IA_CELL_22,0.069377
M2IA_CELL_23,0.089212
M2IA_CELL_24,0.021779
M2IA_CELL_25,0.054252
M2IA_CELL_26,0.054205
M2IA_CELL_27,0.017324
M2IA_CELL_28,0.046347
M2IA_CELL_2,0.113266
M2IA_CELL_30,0.020794
M2IA_CELL_31,0.067326
M2IA_CELL_35,0.022019
M2IA_CELL_36,0.050039
M2IA_CELL_37,0.036882
M2IA_CELL_38,0.064351
M2IA_CELL_39,0.055683
M2IA_CELL_40,0.061495
M2IA_CELL_41,0.070507
M2IA_CELL_42,0.065242
M2IA_CELL_44,0.089094
M2IA_CELL_45,0.119207
M2IA_CELL_46,0.070491
M2IA_CELL_49,0.026579
M2IA_CELL_4,0.013868
M2IA_CELL_50,0.029389
M2IA_CELL_51,0.030907
M2IA_CELL_52,0.029243
M2IA_CELL_53,0.028948
M2IA_CELL_54,0.033068
M2IA_CELL_55,0.003539
M2IA_CELL_57,0.066191
M2IA_CELL_59,0.06786
M2IA_CELL_5,0.007266
M2IA_CELL_60,0.033778
M2IA_CELL_61,0.085559
M2IA_CELL_62,0.048591
M2IA_CELL_63,0.033766
M2IA_CELL_64,0.0
M2IA_CELL_65,0.047072
M2IA_CELL_66,0.012369
M2IA_CELL_68,0.041377
M2IA_CELL_69,0.045565
M2IA_CELL_6,0.019386
M2IA_CELL_70,0.073327
M2IA_CELL_71,0.026461
M2IA_CELL_72,0.00802
M2IA_CELL_73,0.080674
M2IA_CELL_74,0.023274
M2IA_CELL_75,0.02614
M2IA_CELL_76,0.084914
M2IA_CELL_77,0.060603
M2IA_CELL_79,0.057519
M2IA_CELL_7,0.005615
M2IA_CELL_80,0.029645
M2IA_CELL_81,0.082826
M2IA_CELL_82,0.056011
M2IA_CELL_83,0.027666
M2IA_CELL_84,0.02968
M2IA_CELL_86,0.029338
M2IA_CELL_87,0.026438
M2IA_CELL_89,0.032116
M2IA_CELL_90,0.022357
M2IA_CELL_91,0.021174
M2IA_CELL_94,0.020586
M2IA_CELL_95,0.024861
M2IA_CELL_96,0.103877
M2IB_CELL_10,0.942974
M2IB_CELL_11,0.991942
M2IB_CELL_12,0.950271
M2IB_CELL_13,0.945449
M2IB_CELL_14,0.942447
M2IB_CELL_15,0.973319
M2IB_CELL_16,0.955713
M2IB_CELL_17,0.982197
M2IB_CELL_18,0.993927
M2IB_CELL_1,0.971906
M2IB_CELL_20,0.98999
M2IB_CELL_21,0.976438
M2IB_CELL_22,0.942843
M2IB_CELL_23,0.97234
M2IB_CELL_24,0.967636
M2IB_CELL_25,0.976834
M2IB_CELL_26,0.976301
M2IB_CELL_27,0.998003
M2IB_CELL_28,0.915356
M2IB_CELL_29,0.961965
M2IB_CELL_30,0.960592
M2IB_CELL_31,0.98197
M2IB_CELL_33,0.995362
M2IB_CELL_34,0.996475
M2IB_CELL_35,0.985004
M2IB_CELL_36,1.0
M2IB_CELL_37,0.968056
M2IB_CELL_39,0.994434
M2IB_CELL_40,0.956091
M2IB_CELL_42,0.958291
